bucket_pages,phase,physical_bytes,virtual_bytes,buckets,ledger_bucket_bytes,grows,grown_pages,reads,read_bytes,writes,write_bytes,elapsed_us
128,construction,65536,0,0,0,1,1,0,0,2,34848,48
128,bootstrap,8454144,65536,1,8388608,1,128,3,8,10,16437,5107
128,28_small_cells,243335168,1900544,29,8388608,28,3584,0,0,168,58716,131669
128,8192_vec_rows,260112384,10354688,31,8388608,1,128,8192,65536,16514,8720385,5241
128,20000_random_gets,260112384,10354688,31,8388608,0,0,40002,20640000,0,0,4107
128,20000_crossing_reads,260112384,10354688,31,8388608,0,0,40000,640000,0,0,247
128,reopen_unbound,260112384,10354688,31,8388608,0,0,7,104547,0,0,85
128,100_readonly_replays,260112384,10354688,31,8388608,0,0,200,3484800,0,0,2991
128,64_bootstrap_generations,260112384,10354688,31,8388608,0,0,704,9514004,256,2549411,84981
128,history_independent_report,260112384,10354688,31,8388608,0,0,2,34848,0,0,30
16,construction,65536,0,0,0,1,1,0,0,2,34848,19
16,bootstrap,1114112,65536,1,1048576,1,16,3,8,10,16437,843
16,28_small_cells,30474240,1900544,29,1048576,28,448,0,0,168,58716,17183
16,8192_vec_rows,39911424,10354688,38,1048576,8,128,8192,65536,16528,8720392,5168
16,20000_random_gets,39911424,10354688,38,1048576,0,0,40019,20640000,0,0,3847
16,20000_crossing_reads,39911424,10354688,38,1048576,0,0,40000,640000,0,0,247
16,reopen_unbound,39911424,10354688,38,1048576,0,0,7,104547,0,0,61
16,100_readonly_replays,39911424,10354688,38,1048576,0,0,200,3484800,0,0,2979
16,64_bootstrap_generations,39911424,10354688,38,1048576,0,0,704,9514004,256,2549411,85492
16,history_independent_report,39911424,10354688,38,1048576,0,0,2,34848,0,0,30
8,construction,65536,0,0,0,1,1,0,0,2,34848,22
8,bootstrap,589824,65536,1,524288,1,8,3,8,10,16437,578
8,28_small_cells,15269888,1900544,29,524288,28,224,0,0,168,58716,8487
8,8192_vec_rows,24182784,10354688,46,524288,16,128,8192,65536,16544,8720400,5351
8,20000_random_gets,24182784,10354688,46,524288,0,0,40039,20640000,0,0,4052
8,20000_crossing_reads,24182784,10354688,46,524288,0,0,40000,640000,0,0,246
8,reopen_unbound,24182784,10354688,46,524288,0,0,7,104547,0,0,91
8,100_readonly_replays,24182784,10354688,46,524288,0,0,200,3484800,0,0,2957
8,64_bootstrap_generations,24182784,10354688,46,524288,0,0,704,9514004,256,2549411,83674
8,history_independent_report,24182784,10354688,46,524288,0,0,2,34848,0,0,28
1,construction,65536,0,0,0,1,1,0,0,2,34848,22
1,bootstrap,131072,65536,1,65536,1,1,3,8,10,16437,226
1,28_small_cells,1966080,1900544,29,65536,28,28,0,0,168,58716,1213
1,8192_vec_rows,10420224,10354688,158,65536,128,128,8192,65536,16768,8720512,5220
1,20000_random_gets,10420224,10354688,158,65536,0,0,40312,20640000,0,0,3926
1,20000_crossing_reads,10420224,10354688,158,65536,0,0,40000,640000,0,0,234
1,reopen_unbound,10420224,10354688,158,65536,0,0,7,104547,0,0,64
1,100_readonly_replays,10420224,10354688,158,65536,0,0,200,3484800,0,0,3057
1,64_bootstrap_generations,10420224,10354688,158,65536,0,0,704,9514004,256,2549411,84449
1,history_independent_report,10420224,10354688,158,65536,0,0,2,34848,0,0,29
